id,seller_id,name,description,category,price,main_image_url
c3008cd0-6747-4165-8c07-a35b1452e066,e74ce40d-f0f3-430c-a828-d834ff086949,Персонализированный брелок,Брелок с гравировкой текста,ACCESSORIES,550,http
6056e058-54f7-47d1-af48-80289d44c1db,e74ce40d-f0f3-430c-a828-d834ff086949,Мгновенная камера,Ретро камера для мгновенной печати фото,ELECTRONICS,4500,http
0e0a2351-67a2-482f-8d07-2e379604a2f2,e74ce40d-f0f3-430c-a828-d834ff086949,Киш со шпинатом и сыром,Пирог со шпинатом и сыром.,FOOD,275,http
f37ddfc8-b9ed-4361-9a84-cab0fef09e14,e74ce40d-f0f3-430c-a828-d834ff086949,Бамбуковая подставка для ванны,Подставка для книг телефона и закусок в ванне.,HOME,1750,http
c6110d9a-b824-4be3-929f-b4dac30dc3ff,e74ce40d-f0f3-430c-a828-d834ff086949,Батончики мюсли,Овсяные батончики с медом и орехами.,FOOD,175,http
d9c2848d-941b-4c79-a588-ac12f33530cf,e74ce40d-f0f3-430c-a828-d834ff086949,Вегетарианские бургеры,Бургеры с овощами на гриле.,FOOD,315,http
e30c6fc4-84c9-4c70-80b9-36ba2328c7d2,e74ce40d-f0f3-430c-a828-d834ff086949,Набор линз для смартфона,Объективы для улучшения мобильной фотосъемки.,ELECTRONICS,1000,http
a8fb3d48-ff5a-49f8-b605-e56441f16a86,e74ce40d-f0f3-430c-a828-d834ff086949,Чипсы из таро,Хрустящие чипсы из корня таро.,FOOD,180,http
9ab0ad25-7461-4158-81dc-2b7d94672e5e,e74ce40d-f0f3-430c-a828-d834ff086949,Начинка для яблочного пирога,Сладкая начинка с яблоками и специями.,FOOD,175,http
e903eba4-c6ee-4465-845f-27b2677adf41,e74ce40d-f0f3-430c-a828-d834ff086949,Дорожный косметический чемодан,Стильный чемодан для косметики.,BEAUTY,5000,http
8fe55d93-016e-48b1-ac4e-f8b718de59bd,e74ce40d-f0f3-430c-a828-d834ff086949,Куриные шашлычки в терияки,Шашлычки в соусе терияки.,FOOD,450,http
9bf165f4-66a3-4311-aa96-fc8027611119,e74ce40d-f0f3-430c-a828-d834ff086949,Оливковое масло с лимоном,Оливковое масло с цедрой лимона.,FOOD,450,http
65e0c13b-8dd3-4e39-b455-a4bf1c11673c,e74ce40d-f0f3-430c-a828-d834ff086949,Крендельки с арахисовой пастой,Соленые крендельки с арахисовой начинкой.,FOOD,200,http
00d0c639-c3b9-4922-a232-391d43a6adab,e74ce40d-f0f3-430c-a828-d834ff086949,Гранола с клюквой и орехами,Хрустящая гранола с клюквой и пеканами.,FOOD,200,http
abed06ec-fc82-4979-9fe8-236f605e043f,e74ce40d-f0f3-430c-a828-d834ff086949,Горчица с зернами,Пикантная горчица для бутербродов.,FOOD,175,http
5d2324d8-152d-47d1-a937-ade96a9d487f,e74ce40d-f0f3-430c-a828-d834ff086949,Пудинг из чиа с кокосом,Пудинг на кокосовом молоке с манго.,FOOD,175,http
08ec4de9-9de8-445e-988c-0160d704c5b1,e74ce40d-f0f3-430c-a828-d834ff086949,Коврик для пазлов,Складной коврик для сборки пазлов.,TOYS,1150,http
221f38de-3bd6-466b-a3d4-81651daad8ea,e74ce40d-f0f3-430c-a828-d834ff086949,Спортивная куртка,Удобная куртка для тренировок.,ACCESSORIES,2500,http
b1ac11c7-2939-4574-b923-491944fb4162,e74ce40d-f0f3-430c-a828-d834ff086949,Катушка для шланга,Компактная катушка для садового шланга.,HOME,2500,http
